Generating SQLite file /scratch/deepseek-prof/profiles/nsys/bench_1gpu_i512_o128_n64_ks-testdlaembeddinggen_88314.sqlite from /scratch/deepseek-prof/profiles/nsys/bench_1gpu_i512_o128_n64_ks-testdlaembeddinggen_88314.nsys-rep
Processing [/scratch/deepseek-prof/profiles/nsys/bench_1gpu_i512_o128_n64_ks-testdlaembeddinggen_88314.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns)  | Med (ns)  | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
|     14.6 |        57275314 |       444 |  128998.5 |  130336.0 |     8480 |   264161 |     80263.8 | void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b… |
|      7.6 |        29824442 |        60 |  497074.0 |  498465.0 |   443361 |   551138 |     36735.9 | ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn                                                  |
|      6.7 |        26326778 |        60 |  438779.6 |  443569.0 |   382561 |   512161 |     50244.4 | void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x256_32x3_tn_align8>(T1::Param… |
|      6.4 |        25011093 |       125 |  200088.7 |  200033.0 |   197953 |   205792 |       990.2 | void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_256x64_32x4_tn_align2>(T1::Params)      |
|      6.3 |        24600944 |        60 |  410015.7 |  369488.5 |   249184 |   612225 |    124966.3 | void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b… |
|      5.4 |        21294056 |        60 |  354900.9 |  356016.5 |   307232 |   408128 |     35502.2 | ampere_fp16_s16816gemm_fp16_256x128_ldg8_relu_f2f_stages_32x3_tn                                     |
|      4.1 |        16135104 |        24 |  672296.0 |  671233.0 |    47680 |  1294115 |    633388.0 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::a… |
|      3.8 |        14877493 |      1152 |   12914.5 |    2208.0 |     1312 |   209312 |     45530.6 | triton_poi_fused_relu_1                                                                              |
|      3.6 |        14174999 |       136 |  104227.9 |   97280.0 |    20192 |   441217 |     58655.3 | void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:… |
|      3.1 |        12200034 |      1152 |   10590.3 |    3872.0 |     2176 |   133152 |     27864.9 | triton_per_fused_add_native_layer_norm_2                                                             |
|      3.1 |        12159221 |       840 |   14475.3 |   13888.0 |     7904 |    21760 |      4228.6 | void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)  |
|      3.0 |        11651484 |       744 |   15660.6 |   12192.0 |     8288 |    31808 |      7459.9 | ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn                                       |
|      2.8 |        11147544 |       134 |   83190.6 |   82080.0 |     2112 |   322688 |     31987.7 | void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa… |
|      2.8 |        10984697 |        60 |  183078.3 |  184448.5 |   172032 |   194081 |      7248.4 | sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute… |
|      2.5 |         9662648 |       624 |   15485.0 |   15376.0 |    13280 |    29185 |      2075.3 | ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_tn                                      |
|      2.3 |         9030035 |      1788 |    5050.4 |    1824.0 |     1248 |   124193 |     18620.9 | void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType… |
|      2.0 |         8017583 |       136 |   58952.8 |   56112.5 |     2944 |   209441 |     27457.3 | void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n… |
|      2.0 |         7910067 |      1152 |    6866.4 |    2880.0 |     1952 |    78433 |     16462.3 | triton_per_fused_add_native_layer_norm_0                                                             |
|      1.9 |         7452404 |       312 |   23885.9 |   24464.5 |    21312 |    25888 |      1240.6 | void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Param… |
|      1.6 |         6249580 |       135 |   46293.2 |   43649.0 |     9632 |   167136 |     21343.9 | void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::… |
|      1.4 |         5644140 |       228 |   24755.0 |   31312.0 |    10688 |    36096 |     10529.7 | sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x96x32_stage4_warpsize2x2x1_tensor16x8x16_execute_k… |
|      1.4 |         5390661 |       528 |   10209.6 |    8416.0 |     5824 |    20160 |      4615.1 | sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_k… |
|      1.3 |         5210151 |       138 |   37754.7 |   34576.0 |    16672 |   124225 |     17743.1 | void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<… |
|      1.2 |         4553321 |         2 | 2276660.5 | 2276660.5 |  2269540 |  2283781 |     10069.9 | _topk_topp_kernel                                                                                    |
|      1.1 |         4429706 |       228 |   19428.5 |   19504.0 |    18560 |    20224 |       438.5 | sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_… |
|      1.0 |         3958924 |       136 |   29109.7 |   28880.0 |     3168 |   112576 |     11012.2 | void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat… |
