Generating SQLite file /scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite from /scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.nsys-rep
Processing [/scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     21.5         57185891        444   128797.1   130257.0      8416    257185      79985.3  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b…
     21.1         56155281        343   163718.0   163713.0    162784    164704        252.7  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x10_tn_align8>(T1::Params)
      7.9         20990779         24   874615.8   874643.0     47392   1698180     840113.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::a…
      4.6         12163300        840    14480.1    13872.5      7776     21824       4239.7  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params) 
      4.4         11686859        744    15708.1    12160.0      8288     32512       7538.9  ampere_fp16_s16816gemm_fp16_64x64_ldg8_relu_f2f_stages_64x5_tn                                      
      3.6          9667137        624    15492.2    15392.0     13184     28864       2065.6  ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_tn                                     
      3.1          8371510        347    24125.4    19392.0     19104    440865      44027.5  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      2.8          7458131        312    23904.3    24608.0     21888     25953       1229.1  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x4_tn_align8>(T1::Param…
      2.4          6304791        349    18065.3    16320.0     16000    124033      13406.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      2.1          5669872        228    24867.9    31200.0     10784     36800      10610.2  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x96x32_stage4_warpsize2x2x1_tensor16x8x16_execute_k…
      2.0          5362737        528    10156.7     8320.0      5824     20480       4614.4  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_k…
      1.8          4734259       1104     4288.3     3648.0      2208     30976       3019.1  triton_per_fused_add_native_layer_norm_2                                                            
      1.7          4561614          2  2280807.0  2280807.0   2264391   2297223      23215.7  _topk_topp_kernel                                                                                   
      1.7          4448364        228    19510.4    19616.0     18688     20320        411.1  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128x32_stage4_warpsize2x2x1_tensor16x8x16_execute_…
      1.3          3523786       1104     3191.8     2848.0      1952     21312       1970.8  triton_per_fused_add_native_layer_norm_0                                                            
      1.3          3408458       1752     1945.5     1792.0      1248      4064        596.8  void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType…
      1.2          3073576       1104     2784.0     2144.0      1312     53152       5273.1  triton_poi_fused_relu_1                                                                             
      1.0          2758824         36    76634.0    77584.5     37536    114529      31401.1  ampere_fp16_s16816gemm_fp16_256x128_ldg8_relu_f2f_stages_32x3_tn                                    
      1.0          2612585        347     7529.1     5696.0      5120    165793      16939.1  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      1.0          2568232        192    13376.2    13504.0     11904     15328       1249.3  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x6_tn                            
      0.9          2325801         72    32302.8    32496.0     31456     32960        401.2  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize192x128x32_stage3_warpsize4x2x1_tensor16x8x16_execute…
      0.7          1985987        347     5723.3     3360.0      2688    210208      21963.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7          1959910       1642     1193.6     1184.0      1152      2080         44.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<ch…
      0.7          1841321       1348     1366.0     1280.0      1088      7808        603.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::arr…
      0.6          1707940        347     4922.0     4320.0      2816    108832       7906.7  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.6          1702214         48    35462.8    35424.0     35137     36416        210.6  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x128_32x6_tn_align8>(T1::Params)
      0.6          1621986         72    22527.6    22528.0     22144     22976        152.7  ampere_fp16_s16816gemm_fp16_128x128_ldg8_relu_f2f_stages_32x5_tn                                    
      0.6          1526948        345     4425.9     2560.0      1856    323617      24334.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.6          1521025        690     2204.4     2336.0      1856      3040        241.6  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.6          1503333         96    15659.7    15744.0     15008     16320        319.8  sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x64x32_stage4_warpsize2x2x1_tensor16x8x16_execute_k…
      0.6          1498947         12   124912.3   124928.0    124800    125057         80.3  void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_tn_align8>(T1::Param…
      0.5          1266466         96    13192.4    13216.0     12192     13568        213.4  ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn                            
      0.4          1126084        344     3273.5     3264.0      3200      3584         41.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.4          1045700        344     3039.8     3040.0      2848      3392         63.3  _compute_slot_mapping_kernel                                                                        
      0.4          1029316        521     1975.7     1952.0      1536      3136        210.9  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.4           954082          2   477041.0   477041.0    473857    480225       4502.9  void flashinfer::sampling::RadixTopKMaskLogitsKernel_MultiCTA<(unsigned int)1024, (unsigned int)4, …
      0.3           874721        697     1255.0     1248.0      1184      1696         22.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.3           807520        336     2403.3     2336.0      1792      3328        374.4  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, float, __half, (bool)0, _…
      0.3           682434         96     7108.7     7104.0      6784      7584        163.0  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Param…
      0.3           668840        351     1905.5     1888.0      1760      2721         96.2  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.2           665025         48    13854.7    14016.0     13216     14560        486.8  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Param…
      0.2           625954         48    13040.7    13040.0     12832     13344        133.0  ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_64x3_tn                                     
      0.2           550976        344     1601.7     1600.0      1568      1728         16.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array…
      0.2           543201         48    11316.7    11360.0      9856     12864       1248.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x1_tn_align8>(T1::Param…
      0.2           542114          2   271057.0   271057.0    270593    271521        656.2  ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_tn                                         
      0.2           535841        344     1557.7     1568.0      1536      1824         22.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::arra…
      0.2           458210          2   229105.0   229105.0    217217    240993      16812.2  void flashinfer::sampling::TopPSamplingFromProbKernel<(unsigned int)1024, (cub::_V_300302_SM_860::B…
      0.2           448227        344     1303.0     1312.0      1280      1344         14.8  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<cha…
      0.2           413856         48     8622.0     8752.0      4992     12320       3464.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (b…
      0.1           338208         92     3676.2     3552.0      2592     16192       1410.3  triton_per_fused__to_copy_add_embedding_native_layer_norm_0                                         
      0.1           278368         24    11598.7    11504.0     10336     12064        421.6  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (b…
      0.1           165664          1   165664.0   165664.0    165664    165664          0.0  void gemv2T_kernel_val<int, int, __half, __half, __half, float, (int)128, (int)16, (int)4, (int)4, …
      0.0            77856         62     1255.7     1184.0      1152      1888        166.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0            21280          5     4256.0     4288.0      3424      4832        527.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0            19840          8     2480.0     2480.0      2368      2560         61.7  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float…
      0.0            12096          1    12096.0    12096.0     12096     12096          0.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0             9056          2     4528.0     4528.0      4352      4704        248.9  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0             8896          4     2224.0     2208.0      2176      2304         55.4  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0             8480          4     2120.0     2112.0      1920      2336        214.5  void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::where_kernel_impl(at:…
      0.0             4064          1     4064.0     4064.0      4064      4064          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0             2560          2     1280.0     1280.0      1280      1280          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.0             2304          2     1152.0     1152.0      1120      1184         45.3  void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<long>, std::array<char *, (uns…
      0.0             2112          1     2112.0     2112.0      2112      2112          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std:…
      0.0             1184          1     1184.0     1184.0      1184      1184          0.0  void at::native::unrolled_elementwise_kernel<at::native::FillFunctor<int>, std::array<char *, (unsi…

