-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_16(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      45.560ms       151.54%      45.560ms      45.560ms           0 B           0 B           0 B           0 B             1  
## Call CompiledFxGraph ftftmnotujmsfvo2i5qzzgp265jq...         0.00%       0.000us         0.00%       0.000us       0.000us      19.744ms        65.67%      19.744ms       1.795ms           0 B           0 B           0 B           0 B            11  
                                            aten::addmm         2.18%       1.300ms         2.90%       1.729ms      36.030us      16.564ms        55.09%      16.564ms     345.075us           0 B           0 B           0 B           0 B            48  
    ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us       5.751ms        19.13%       5.751ms     479.267us           0 B           0 B           0 B           0 B            12  
                 execute_context_0(0)_generation_16(16)         0.00%       0.000us         0.00%       0.000us       0.000us       5.202ms        17.30%       5.202ms       2.601ms           0 B           0 B           0 B           0 B             2  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       4.681ms        15.57%       4.681ms     390.049us           0 B           0 B           0 B           0 B            12  
ampere_fp16_s16816gemm_fp16_256x128_ldg8_relu_f2f_st...         0.00%       0.000us         0.00%       0.000us       0.000us       3.990ms        13.27%       3.990ms     332.491us           0 B           0 B           0 B           0 B            12  
                                _vllm_fa2_C::varlen_fwd         0.36%     214.126us         4.46%       2.659ms     221.581us       3.060ms        10.18%       3.561ms     296.752us           0 B           0 B       4.50 MB           0 B            12  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       3.060ms        10.18%       3.060ms     254.960us           0 B           0 B           0 B           0 B            12  
